Species.ID,Common.Name,TaxonLevel,TaxonID,TaxonName,TaxonScientificName,FamilyCommonName,FamilyScientificName,Order
816,Black Duck-Mallard hybrid,,,,,,,
887,Buff-breasted Sandpiper,sp,u887,Buff-breasted Sandpiper,Calidris subruficollis,"Snipe, Sandpipers, Godwits, Curlew, Stints and Phalaropes",Scolopacidae,Charadriiformes
195,Australian Little Bittern,sp,u195,Australian Little Bittern,Ixobrychus dubius,"Herons, Egrets and Bitterns",Ardeidae,Pelecaniformes
744,South Island Pied Oystercatcher,sp,u744,South Island Pied Oystercatcher,Haematopus finschi,Oystercatchers,Haematopodidae,Charadriiformes
857,Little Stint,sp,u857,Little Stint,Calidris minuta,"Snipe, Sandpipers, Godwits, Curlew, Stints and Phalaropes",Scolopacidae,Charadriiformes
895,Common Ringed Plover,sp,895,Common Ringed Plover,Charadrius hiaticula,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes
815,Hudsonian Godwit,sp,u815,Hudsonian Godwit,Limosa haemastica,"Snipe, Sandpipers, Godwits, Curlew, Stints and Phalaropes",Scolopacidae,Charadriiformes
840,Tattler spp,,,,,,,
844,American Golden Plover,sp,u844,American Golden Plover,Pluvialis dominica,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes
200,Cotton Pygmy-goose,sp,200,Cotton Pygmy-goose,Nettapus coromandelianus,"Ducks, Geese and Swans",Anatidae,Anseriformes
145,Inland Dotterel,sp,u145,Inland Dotterel,Peltohyas australis,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes
822,Cox's Sandpiper,,,,,,,
52,White-browed Crake,sp,u52,White-browed Crake,Amaurornis cinerea,"Crakes, Rails and Swamphens",Rallidae,Gruiformes
8066,Semipalmated Plover,sp,u8066,Semipalmated Plover,Charadrius semipalmatus,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes
835,Grey Phalarope,sp,u835,Red Phalarope,Phalaropus fulicarius,"Snipe, Sandpipers, Godwits, Curlew, Stints and Phalaropes",Scolopacidae,Charadriiformes
770,Kentish Plover,sp,770,Kentish Plover,Charadrius alexandrinus,"Plovers, Dotterel and Lapwings",Charadriidae,Charadriiformes
800,Northern Pintail,sp,u800,Northern Pintail,Anas acuta,"Ducks, Geese and Swans",Anatidae,Anseriformes
890,Baird's Sandpiper,sp,u890,Baird's Sandpiper,Calidris bairdii,"Snipe, Sandpipers, Godwits, Curlew, Stints and Phalaropes",Scolopacidae,Charadriiformes
53,Pale-vented Bush-hen,sp,53,Pale-vented Bush-hen,Amaurornis moluccana,"Crakes, Rails and Swamphens",Rallidae,Gruiformes
745,Spotted Whistling-Duck,sp,u745,Spotted Whistling-Duck,Dendrocygna guttata,"Ducks, Geese and Swans",Anatidae,Anseriformes
