Taxon ID,Scientific Name,Common Name,EPBC Threat Status,EPBC Threatened Species Listed Name,EPBC Threatened Species Date Effective,EPBC Act Migratory,Conservation Advice,Class,Order,Family,Genus,Taxon Group,ACT NC Act,Listed Name,NSW TSC Act and FM Act,Listed Name,NT TPWC Act,Listed Name,Qld NC Act,Listed Name,SA NPW Act,Listed Name,Tas. TSP Act,Listed Name,Vic. FFG Act (Advisory Lists),Listed Name,WA WC Act,Listed Name,IUCN Red List,IUCN Red List Listed Names,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,Ashmore and Cartier Islands,Cocos (Keeling) Islands,Christmas Island,Coral Sea Islands,Jervis Bay Territory,Norfolk Island,Heard and McDonald Islands,Australian Antarctic Territory,Commonwealth Marine Area
21126,Acacia adunca,"Wallangarra Wattle, Cascade Wattle",,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia adunca,,,,,,,,,,,,,,,,,
75030,Acacia aemula, ,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia aemula,,,,,,,,,,,,,,,,,
15869,Acacia aestivalis, ,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia aestivalis,,,,,,,,,,,,,,,,,
91049,Acacia alaticaulis,a wattle,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,,,
8529,Acacia albizioides,Climbing Wattle,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,Near Threatened,Senegalia albizioides,,,,,,,,,,,,,,Present,,,,,,,,,,,,,
4732,Acacia alcockii, ,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,Rare,Acacia alcockii,,,,,,,,,,,,,,,,,,,,,,,,,
18723,Acacia alleniana, ,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia alleniana,,,,,,,,,,,,,,,,,
12605,Acacia alpina,Alpine Wattle,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,Endangered,Acacia alpina,,,Least Concern,Acacia alpina,,,,,,,,,,,,,,,,,
18537,Acacia amblyophylla, ,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia amblyophylla,,,,,,,,,,,,,,,,,
13734,Acacia ammobia, ,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,Rare,Acacia ammobia,,,,,,,Least Concern,Acacia ammobia,,,,,,,,,,,,,,,,,
3763,Acacia ammophila, ,Vulnerable,Acacia ammophila,16-Jul-00,,1-Oct-08,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,Vulnerable,Acacia ammophila,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,
